,Gr,Cl,Rt,Cf,Mg,New,s0,Sa,sA,sB,sC
0,23.0,19.0,18.0,25.0,15.0,0.0,0.0,100.0,40.0,33.0,27.0
0,24.0,24.0,28.0,29.0,22.0,27.0,0.0,127.0,46.0,45.0,36.0
0,24.0,32.0,26.0,30.0,28.0,25.0,12.0,140.0,53.0,44.0,55.0
0,24.0,24.0,28.0,40.0,25.0,24.0,35.0,141.0,57.0,60.0,59.0
0,21.0,19.0,26.0,37.0,18.0,4.0,59.0,121.0,71.0,49.0,60.0
0,27.0,23.0,24.0,32.0,13.0,22.0,83.0,119.0,63.0,67.0,72.0
0,20.0,17.0,22.0,22.0,15.0,1.0,107.0,96.0,65.0,73.0,65.0
0,15.0,22.0,21.0,13.0,17.0,13.0,128.0,88.0,74.0,60.0,82.0
0,17.0,16.0,18.0,16.0,19.0,17.0,147.0,86.0,87.0,75.0,71.0
0,17.0,10.0,13.0,21.0,10.0,9.0,171.0,71.0,92.0,83.0,67.0
0,11.0,6.0,17.0,18.0,17.0,22.0,195.0,69.0,91.0,93.0,80.0
0,16.0,9.0,21.0,18.0,16.0,30.0,214.0,80.0,95.0,94.0,105.0
0,14.0,13.0,11.0,17.0,12.0,18.0,245.0,67.0,102.0,83.0,127.0
0,15.0,13.0,17.0,12.0,18.0,23.0,260.0,75.0,104.0,118.0,113.0
0,14.0,16.0,17.0,23.0,14.0,28.0,279.0,84.0,112.0,123.0,128.0
0,12.0,24.0,16.0,16.0,15.0,22.0,302.0,83.0,120.0,136.0,129.0
0,6.0,15.0,17.0,19.0,15.0,11.0,324.0,72.0,122.0,149.0,125.0
0,12.0,24.0,15.0,24.0,12.0,28.0,337.0,87.0,129.0,158.0,137.0
0,15.0,25.0,22.0,13.0,12.0,26.0,363.0,87.0,147.0,142.0,161.0
0,12.0,24.0,19.0,14.0,13.0,25.0,393.0,82.0,167.0,150.0,158.0
0,9.0,10.0,18.0,10.0,19.0,7.0,416.0,66.0,149.0,166.0,167.0
0,13.0,13.0,22.0,15.0,14.0,28.0,433.0,77.0,176.0,172.0,162.0
0,10.0,9.0,18.0,10.0,12.0,6.0,457.0,59.0,183.0,169.0,164.0
0,8.0,15.0,18.0,21.0,17.0,28.0,465.0,79.0,188.0,182.0,174.0
0,12.0,11.0,15.0,20.0,15.0,19.0,490.0,73.0,187.0,193.0,183.0
0,13.0,19.0,20.0,19.0,20.0,27.0,499.0,91.0,202.0,191.0,197.0
0,13.0,11.0,14.0,14.0,14.0,1.0,525.0,66.0,204.0,186.0,201.0
0,7.0,11.0,20.0,11.0,21.0,24.0,545.0,70.0,206.0,203.0,206.0
0,9.0,7.0,20.0,15.0,16.0,16.0,564.0,67.0,211.0,209.0,211.0
0,6.0,13.0,21.0,10.0,15.0,16.0,582.0,65.0,228.0,223.0,196.0
0,15.0,18.0,16.0,9.0,13.0,18.0,594.0,71.0,242.0,225.0,198.0
0,12.0,7.0,12.0,7.0,13.0,3.0,617.0,51.0,217.0,241.0,210.0
0,7.0,8.0,12.0,9.0,6.0,8.0,634.0,42.0,217.0,238.0,221.0
0,13.0,12.0,13.0,7.0,6.0,20.0,645.0,51.0,242.0,237.0,217.0
0,13.0,16.0,11.0,8.0,12.0,23.0,659.0,60.0,220.0,282.0,217.0
0,5.0,11.0,9.0,5.0,7.0,23.0,682.0,37.0,251.0,223.0,245.0
